Food,Size,Price
Baja Chicken & Bacon,Footlong,13.09
Baja Steak & Jack,Footlong,11.79
BLT,Footlong,9
Black Forest Ham,Footlong,9
Buffalo Chicken ,Footlong,8.79
Chicken & Bacon Ranch Melt,Footlong,13.89
Cold Cut Combo,Footlong,8.99
Italian B.M.T.,Footlong,9.5
Meatball Marinara,Footlong,9.5
Oven Roasted Chicken,Footlong,9.5
Roast Beef,Footlong,12.99
Rotisserie-Style Chicken,Footlong,9.5
Spicy Italian,Footlong,9
Steak & Cheese,Footlong,10.89
Subway Club,Footlong,11.79
Sweet Onion Chicken Teriyaki,Footlong,9.5
Tuna,Footlong,9.5
"Turkey ""Cali Fresh""",Footlong,15.49
Turkey Italiano,Footlong,9.99
Veggie Delite,Footlong,8
Veggie Patty,Footlong,9.5
Veggie Patty Pro ,Footlong,13.99
Baja Chicken & Bacon,6-inch,8.39
Baja Steak & Jack,6-inch,7.49
BLT,6-inch,7
Black Forest Ham,6-inch,6
Buffalo Chicken ,6-inch,6.5
Chicken & Bacon Ranch Melt,6-inch,8.39
Cold Cut Combo,6-inch,6
Italian B.M.T.,6-inch,6
Meatball Marinara,6-inch,7
Oven Roasted Chicken,6-inch,7
Roast Beef,6-inch,8.29
Rotisserie-Style Chicken,6-inch,7
Spicy Italian,6-inch,6
Steak & Cheese,6-inch,7.49
Subway Club,6-inch,7.99
Sweet Onion Chicken Teriyaki,6-inch,6
Tuna,6-inch,7
"Turkey ""Cali Fresh""",6-inch,9.59
Turkey Italiano,6-inch,6.09
Veggie Delite,6-inch,6.29
Veggie Patty,6-inch,7
Baja Chicken & Bacon,Bowl,13.09
Chicken & Bacon Ranch,Bowl,13.89
All-American Club™,Bowl,9.99
B.L.T.,Bowl,9.29
Baja Steak & Jack,Bowl,12.99
Black Forest Ham,Bowl,8.99
Buffalo Chicken,Bowl,9.99
Cold Cut Combo,Bowl,8.99
Italian B.M.T.®,Bowl,9.99
Meatball Marinara,Bowl,9.99
Oven Roasted Turkey,Bowl,9.99
Oven Roasted Turkey & Ham,Bowl,8.99
Roast Beef,Bowl,12.99
Rotisserie-Style Chicken,Bowl,9.5
Spicy Italian,Bowl,8.99
Steak & Cheese,Bowl,10.89
Subway Club®,Bowl,11.79
Sweet Onion Chicken Teriyaki,Bowl,9.99
Tuna,Bowl,9.99
Turkey Italiano,Bowl,9.99
Veggie Patty,Bowl,9.99
Baja Chicken & Bacon,Wrap,9.69
Chicken & Bacon Ranch,Wrap,9.69
All-American Club™,Wrap,8.19
B.L.T.,Wrap,8
Baja Steak & Jack,Wrap,11.69
Black Forest Ham,Wrap,9.5
Buffalo Chicken,Wrap,8.49
Cold Cut Combo,Wrap,8
Italian B.M.T. ®,Wrap,9.5
Meatball Marinara,Wrap,9.5
Oven Roasted Turkey,Wrap,9.5
Oven Roasted Turkey & Ham,Wrap,9.5
Roast Beef,Wrap,9.69
Rotisserie-Style Chicken,Wrap,9.5
Spicy Italian,Wrap,9.5
Steak & Cheese,Wrap,9.5
Subway Club®,Wrap,9.73
Sweet Onion Chicken Teriyaki,Wrap,9.5
Tuna,Wrap,9.3
Turkey Italiano,Wrap,9.09
Veggie Delite®,Wrap,7.59
Veggie Patty,Wrap,9.5
"Bacon, Egg & Cheese 6 Inch with Regular Egg",Breakfast,5.09
"Bacon, Egg & Cheese Footlong with Regular Egg",Breakfast,6.79
"Bacon, Egg & Cheese Wrap",Breakfast,7.59
"Black Forest Ham, Egg & Cheese 6 Inch with Regular Egg",Breakfast,5
"Black Forest Ham, Egg & Cheese Footlong with Regular Egg",Breakfast,7
Egg & Cheese 6 Inch with Regular Egg,Breakfast,5
Egg & Cheese Footlong with Regular Egg,Breakfast,7
Egg & Cheese Wrap,Breakfast,7.59
"Steak, Egg & Cheese 6 Inch with Regular Egg",Breakfast,7
"Steak, Egg & Cheese Footlong with Regular Egg",Breakfast,9
Baja Chicken & Bacon,Salads,10.09
Chicken & Bacon Ranch,Salads,10.69
All-American Club™,Salads,8.99
B.L.T.,Salads,8.89
Baja Steak & Jack,Salads,9.79
Black Forest Ham,Salads,7.99
Buffalo Chicken,Salads,8.49
Cold Cut Combo,Salads,7.99
Italian B.M.T. ®,Salads,7.99
Meatball Marinara,Salads,7.99
Oven Roasted Turkey,Salads,8.99
Oven Roasted Turkey & Ham,Salads,8.89
Roast Beef,Salads,10.49
Rotisserie-Style Chicken,Salads,8
Spicy Italian,Salads,7.99
Steak & Cheese,Salads,9.39
Subway Club®,Salads,9.59
Sweet Onion Chicken Teriyaki,Salads,8.89
Tuna,Salads,8.99
Turkey Italiano,Salads,8.79
Veggie Delite®,Salads,7.99
Veggie Patty,Salads,8.89